Hook Name,Example #1,Example #2,Template
Unique Transformation,I went from spending 40 hours/week on content creation to 8 hours in 3 months. Without hiring a single team member.,I went from $0 to $50K MRR in 6 months. Without spending a dollar on ads.,I went from [before] to [after] in [time]. Without [popular thing].
Failure Story,I've seen founders try to build AI products in 2 weeks. 90% abandon it within a month.,I've seen entrepreneurs dump $20K into AI consultants in 30 days. Most see zero ROI.,I’ve seen [ICP] [ambitious action] in [timeframe]. [negative outcome].
Make People Feel Seen,"If you're a founder who wants to use AI, but feels overwhelmed by all the tools. This post is for YOU.","If you're an entrepreneur who's excited about AI, but don't know where to start. This post is for YOU.","If you’re [trait], but [objection]. This post is for YOU."
Strong Disagreement,"""AI will replace most jobs by 2026"" I disagree.","""You need to learn Python to use AI effectively"" I disagree.",“[provocative quote or opinion]” I disagree.
Opinion as Fact,Most founders are wasting 15+ hours per week on tasks AI could do in minutes. Here's exactly why.,AI tools will generate 40% more revenue for early adopters than their competitors by 2026. Here's exactly why.,[direct claim presented as fact] Here’s exactly why.
Rebellion Story,"I was told ""AI is too complex for non-technical founders"". I ignored it. Now I'm automating 60% of my business.","I was told ""Wait for AI to mature before investing in it"". I ignored it. My competitors are now 2 years behind.",I was told [insert quote]. I ignored it. [Strong positive outcome].
Trigger FOMO,"I wouldn't recommend this to everyone, but… It's how I 10X'd my productivity using AI in 60 days","I wouldn't recommend this to everyone, but… It's how founders are building profitable AI-powered businesses with zero coding","I wouldn’t recommend this to everyone, but… It’s how [desirable/positive outcome]"
Contrarian Post,You could be the smartest entrepreneur in your niche. But I'd still say you're leaving money on the table without AI.,You could be making $100K/month already. But I'd still say you're doing it the hard way without AI automation.,You could be [positive trait]. But I'd still say [insert negative judgement].
"Set a Goal, Show Your Process",If I wanted to build an AI-powered business from scratch in 90 days. This is how I'd do it:,If I wanted to automate 50% of my startup operations in 30 days. This is how I'd do it:,If I wanted to [set desirable + time-based goal]. This is how I'd do it:
Subject Masterclass,60 second AI automation masterclass. This is how my customers saved 20+ hours per week in 30 days.,60 second ChatGPT masterclass. This is how my customers 3X'd their content output in 14 days.,60 second [topic] masterclass. This is how my customers [achievement] in [timeframe].
Golden Advice,I've tested 47 AI tools in the last 90 days. Here's what actually moves the needle for founders.,I've trained 200+ entrepreneurs in the last 6 months. Only 3 strategies consistently deliver results.,I’ve [action] in the last [insert time] [tease your findings].
Leverage FOFU,I've heard terrible advice on AI implementation. But this is the worst.,I've heard terrible advice on prompt engineering. But this is the worst.,I’ve heard terrible advice on [subject]. But this is the worst.
Quantified Strategy/Framework,"This AI automation framework saved my client 30 hours per week in 45 days, and here's how it works.","This prompt engineering system generated $15K in additional revenue for my client in 2 months, and here's how it works.","This [strategy/framework] saved my client [result] in [timeframe], and here's how it works."
Personalized Result,Here's how my client automated their entire customer service in 21 days.,Here's how my client built a $10K/month AI consulting business in 90 days.,Here's how my client [achieved result] in [timeframe].
Expert's First-Time Approach,"If I were helping someone implement AI in their business for the first time today, here's how I'd do it. The full breakdown.","If I were helping someone build their first AI-powered product for the first time today, here's how I'd do it. The full breakdown.","If I were helping someone [achieve goal] for the first time today, here's how I'd do it. The full breakdown."
Before-After Transformation,"I went from manually writing every email to having AI handle 80% of my communication in 6 weeks, and this is what changed.","I went from 0 AI knowledge to running an AI-automated agency in 4 months, and this is what changed.","I went from [situation 1] to [situation 2] in [timeframe], and this is what changed."
Target Audience Problem/Growth,"Founders are struggling to implement AI in their workflows right now, and here's why.","Entrepreneurs are seeing 10X productivity gains with AI right now, and here's why.","[Target Audience] are [struggling with problem/seeing outcome] right now, and here's why."
Problem-Agitate (PAS),Most entrepreneurs lack clarity on which AI tools to prioritize. Here are the 3 layers of AI tool selection.,Most founders lack clarity on AI prompt engineering. Here are the 4 layers of effective prompting.,Most [target audience] lack clarity on [problem area]. Here are the [number] layers of [problem].
Relatable Struggle/Unexpected Truth,No one warns you that most AI tools will waste your time if you don't know how to prompt them correctly.,No one warns you that implementing AI without a strategy will cost you more than it saves.,No one warns you [relatable struggle/unexpected truth].
Emotion-Driven Pain Point,I see founders who used to spend $5K/month on content creators until they discovered this AI workflow.,I see entrepreneurs who used to work 80-hour weeks until they discovered this automation framework.,I see [target market] who used to [painful experience] until they discovered this.
Numbers-Driven List/Benefit,7 AI productivity hacks for busy founders in 2025.,5 ChatGPT prompts for entrepreneurs in 2025.,[Number] [specific benefit] for [target audience] in [year].
Urgency/Fear of Missing Out,"If you don't address AI adoption now, you'll miss the competitive advantage in the next 12 months.","If you don't learn prompt engineering now, you'll miss 10X productivity gains in the next 6 months.","If you don't address [problem] now, you'll miss [opportunity] in the next [timeframe]."
Credibility/Social Proof Challenge,Most AI advice is outdated. Here's what actually works based on 500+ founder implementations.,Most ChatGPT tutorials are generic. Here's what actually works based on real business results.,Most [industry] advice is outdated. Here's what actually works based on [proof/data].
Top 3 Mistakes,Top 3 mistakes you are making with AI prompts,Top 3 mistakes you are making on ChatGPT,Top 3 mistakes you are making on/doing X
Buy/ use This Instead,"Don't use generic ChatGPT prompts, use custom-trained AI assistants instead","Don't buy expensive AI software, use free prompt frameworks instead","Don't buy/ use [common choice], buy/ use [better option] instead"
Speed Tutorial,How to automate your email workflow explained in 90 seconds,How to build AI-powered content systems explained in 2 minutes,How to [outcome] explained in [timeframe]
Can’t Believe The Cost,I actually can't believe this AI automation tool is free.,I actually can't believe ChatGPT Plus only costs $20/month.,I actually can't believe this [only costs price]/ [is free].
Cheapest Way,The cheapest way to implement AI in your startup,The cheapest way to learn prompt engineering,The cheapest way to X
Need‑To‑Know Guide,What you need to know about AI agents before building one,What you need to know about ChatGPT before paying for premium tools,What you need to know about [topic]
Wish I Knew Sooner,"Here's something I wish I knew sooner… AI can't replace strategy, only execution.",Here's something I wish I knew sooner… The best AI tool is the one you actually use consistently.,Here's something i wish i knew sooner…
Friendly Warning,"Warning to founders: AI will amplify bad processes, not fix them",Warning to entrepreneurs: Free AI tools can leak your proprietary data,Warning to [target market]: [risk or tip]
Before I Started,3 things I wish I knew before I started using AI in my business,5 things I wish I knew before I completed my first AI automation project,[Number] things I wish I knew before I started/ completed [activity]
Too Good To Be True,Is this too good to be true? This AI tool handles all my customer research automatically.,Is this too good to be true? This prompt generates month's worth of content in 1 hour.,Is this too good to be true? [tease the benefit]
Truth On Platform,The truth about AI agents on Twitter,The truth about ChatGPT prompts on LinkedIn,The truth about X on Y
Number One For,The number 1 AI tool for content creation,The number 1 ChatGPT prompt for sales emails,The number 1 x for y
One Thing Rule,The only thing you need to know to automate your business,The only thing you need to know to master your AI prompts,The only thing you need to know to [verb] your [noun]
Can’t Believe These Work,I can't believe these AI workflows work,I can't believe these ChatGPT prompts work,I can't believe these [things] work
"Instead, Do This","Instead of hiring a VA, use AI automation.","Instead of using basic ChatGPT, use custom GPTs.",Instead of doing/using X do X.
5 Tips To Get It,5 tips to get AI working for your business in 30 days,5 tips to get better ChatGPT outputs instantly,5 tips to get [desired thing/ outcome]
Did You Know,Did you know ChatGPT can analyze your competitor's entire content strategy in 60 seconds?,Did you know AI can write your sales emails with 3X higher open rates?,Did you know [scroll stopping short fact that opens curiosity loop]?
Are You Looking To…,Are you a founder looking to 10X your productivity with AI?,Are you a founder looking to automate your business operations?,Are you [audience] looking to [objective]?
If You’re Like Me,"If you're like me and spend 10+ hours on content, then this one's for you.","If you're like me and struggle with writer's block, then this one's for you.","If you're like me and do X, then this one's for you."
Why You Need This,This is why you need an AI-first approach to business.,This is why you need custom ChatGPT prompts.,This is why you need X.
A vs B,ChatGPT vs. Claude: Claude wins for writing every time.,Free AI tools vs. Paid AI platforms: Free tools win 80% of the time.,[Option A] vs [Option B]: [punchy verdict]
Legal Hack,"US founders hack, legally lower your AI costs by 70% using open-source alternatives","Startup hack, legally reduce content costs by $3K/month using AI automation","[Location or topic] hack, legally lower [cost] by [method]"
New Cheat Code,New AI automation cheat code,New ChatGPT productivity cheat code,New X cheat code
Life‑Changer,This AI workflow will change your life,This prompt framework will change your life,This X will change your life
Mind‑Blower,This AI agent setup will blow your mind,This ChatGPT technique will blow your mind,This X will blow your mind
You Won’t Believe These,"AI tools you won't believe exist for under $10/month. ",ChatGPT features you won't believe exist,X you won’t believe exist
Don’t Want To…,Don't want to spend 20 hours per week on content creation? Use this AI system.,Don't want to pay $5K/month for copywriters? Try these ChatGPT prompts.,"Don't want to [annoyance, pain point or hassle]? [solution]"
Started Sooner,Things I Wish I Started Sooner: Using AI for customer research,Things I Wish I Started Sooner: Building custom GPTs for my business,Things I Wish I Started Sooner
Without vs With,My life without AI automation vs my life with AI automation: I gained 25 hours per week,My business without ChatGPT vs my business with ChatGPT: Revenue doubled in 6 months,My life without [thing] vs my life with [thing]: [contrast]
No More Gatekeeping,"I agreed, right? No more gatekeeping these AI prompts??","I agreed, right? No more gatekeeping this automation framework??","I agreed, right? No more gatekeeping??"
Guess What This Is,You Won't Believe What This AI Tool Does to Your Productivity…,You Won't Believe What This Prompt Generated...,You Won't Believe What This Is...
"Best For, Here’s Why","These are the best AI tools for startup founders, here is why","These are the best ChatGPT prompts for entrepreneurs, here is why","These are the best [items/ tools/ tactics] for [purpose], here is why"
First Time Ever,I did something I've never done before... I let AI run my entire marketing for a week.,I did something I've never done before... I built a profitable product using only AI in 30 days.,I did something I've never done before...
Actually Works,Best AI productivity tools I've tried that actually work.,Best ChatGPT plugins I've tried that actually work.,Best X products I've tried that actually work.
I Tested Everything,I tested every AI writing tool so you don't have to. Here's what I found.,I tested every ChatGPT alternative so you don't have to. Here's what I found.,"""I tested every x so you don't have to. Here's what I found."""
I Sampled It All,I sampled every AI automation platform so you don't have to. Here are my top picks.,I sampled every AI course for entrepreneurs so you don't have to. Here are my top picks.,"""I sampled every x so you don't have to. Here are my top picks."""
I Experimented For You,I experimented with every AI agent framework so you don't have to. Here are the ones that actually work.,I experimented with every prompt engineering technique so you don't have to. Here are the ones that actually work.,"""I experimented with every x so you don't have to. Here are the ones that actually work."""
I Researched It All,I spent 200 hours researching every AI tool for founders so you do not have to. Here is the best.,I spent 150 hours testing every ChatGPT prompt framework so you do not have to. Here's what I found.,"I spent [ridiculous number] hour researching every X so you do not have to. Here is the best/ what I found/ learnt/ "
I Found What Works,I researched every AI productivity method so you don't have to. Here are the ones that actually worked for me.,I researched every AI automation strategy so you don't have to. Here are the ones that actually worked for me.,"""I researched every x improvement method so you don't have to. Here are the ones that actually worked for me.”"
Should Be Illegal,This should be illegal: Getting 100 hours of work done in 10 with AI,This should be illegal: How easy it is to automate your entire sales process,This should be illegal:
My Go‑To,My go-to AI tool for client research,My go-to ChatGPT prompt for content ideation,My go-to X for X
Before You Scroll,"Before you scroll, learn how this one AI workflow saved founders 30+ hours weekly","Before you scroll, see how this prompt generated $10K in sales","Before you scroll, [tease the benefit]"
Get Rid Of It,3 tips to get rid of time-wasting manual tasks with AI.,3 tips to get rid of writer's block with ChatGPT.,3 tips to get rid of X.
Ordered vs Got,What I ordered (generic AI advice) vs. what I got (actual business transformation).,What I ordered (basic ChatGPT) vs. what I got (fully automated content system).,What I ordered vs. what I got.
Platform Secret,Did you know this ChatGPT secret that 99% of users miss?,Did you know this LinkedIn secret for AI-generated posts?,Did you know this [popular platform] secret?
Feels Illegal To Know,AI prompts that feel illegal to know,ChatGPT hacks that feel illegal to know,X that feels illegal to know